1,5.279048204e-23,7.415659289e-23,1.503046337e-22,4.248354255e-18,2.019056386e-19,1.686615519e-13,2.169529739e-22,4.666418194e-18,5.062782181e-18,3.396190686e-19,2.31324353e-18,0.1198732501,3.327043154e-19,7.588617394e-21,4.426484991e-17,1.358697897e-18,5.279423115e-21,1.250148546e-19,0.6065306597,1.093711649e-11,4.279092227e-12,4.278042811e-20,4.652623192e-17,6.845564772e-16,1.689693488e-22,1.83312035e-16,2.603950326e-21,1.503046337e-22,2.536193024e-21,1.540914437e-22,2.105280564e-22
5.279048204e-23,1,0.6065306597,0.3269218954,4.559152184e-06,3.141016932e-18,2.823042245e-20,0.2431167344,5.596402248e-06,6.61043933e-06,5.651521434e-18,1.105406626e-05,4.69693436e-23,3.458416025e-18,2.301382223e-10,4.161890233e-16,5.089840527e-13,3.734289541e-10,4.622778131e-18,7.599867598e-23,2.520054161e-12,2.371454517e-12,8.045857998e-11,2.235624949e-15,1.656303659e-17,3.791164597e-08,2.112734862e-17,6.854484324e-10,0.01775427629,0.02013844029,0.3269218954,0.2057406611
7.415659289e-23,0.6065306597,1,0.4930686914,7.115254261e-06,2.835799682e-18,4.601710757e-20,0.3269218954,8.615877899e-06,1.002063157e-05,5.126756506e-18,1.70860332e-05,6.496723943e-23,3.141016932e-18,1.417323153e-10,3.219556201e-16,3.792050557e-13,2.301382223e-10,4.143494366e-18,1.070195791e-22,3.727084833e-12,3.605270719e-12,5.009587476e-11,1.370597091e-15,1.012838692e-17,2.371756638e-08,1.287978089e-17,4.215708995e-10,0.01355279292,0.02914319311,0.3678794412,0.3269218954
1.503046337e-22,0.3269218954,0.4930686914,1,1.394569238e-05,4.143494366e-18,8.330609201e-20,0.6065306597,1.70860332e-05,2.006258688e-05,7.533680243e-18,3.378038866e-05,1.314350978e-22,4.622778131e-18,9.772525028e-11,3.784068217e-16,4.175443505e-13,1.591731766e-10,6.000072522e-18,2.169529739e-22,7.527207824e-12,7.20401057e-12,3.6212e-11,9.259162729e-16,6.743474031e-18,1.738655927e-08,8.39238856e-18,2.886279474e-10,0.01436959609,0.05910574656,0.4930686914,0.6065306597
4.248354255e-18,4.559152184e-06,7.115254261e-06,1.394569238e-05,1,1.215629917e-17,3.659169166e-15,1.728180922e-05,0.4930686914,0.2431167344,2.399259971e-17,0.3678794412,2.979793867e-18,1.547610479e-17,7.681204685e-15,2.352708324e-17,6.978014138e-15,1.266416555e-14,1.464994802e-17,6.330601951e-18,3.497424721e-07,4.549483839e-07,4.385159001e-15,7.584760998e-20,1.520595182e-18,1.870848148e-12,1.562882189e-18,2.079699262e-14,1.93975974e-06,0.0001947091317,1.093371243e-05,2.175960526e-05
2.019056386e-19,3.141016932e-18,2.835799682e-18,4.143494366e-18,1.215629917e-17,1,9.412120732e-22,6.743474031e-18,2.399259971e-17,4.730610777e-17,0.4930686914,1.960458663e-17,9.450851356e-19,0.6065306597,1.295973357e-16,1.436035958e-06,8.693317644e-09,1.553968593e-16,0.4930686914,1.966988432e-19,8.418532572e-17,7.462374047e-18,6.772451237e-16,1.558124737e-18,6.185370008e-20,1.101635833e-15,2.031075925e-20,1.157977819e-16,1.411688218e-16,1.721900202e-17,7.533680243e-18,3.691943455e-18
1.686615519e-13,2.823042245e-20,4.601710757e-20,8.330609201e-20,3.659169166e-15,9.412120732e-22,1,9.20397975e-20,2.354755284e-15,1.50182354e-15,8.62180789e-22,1.355663304e-15,2.517470628e-14,6.350754159e-22,1.655416847e-11,6.30511676e-16,8.137801031e-15,1.010513099e-11,1.899527556e-21,2.7137559e-13,3.6212e-11,2.591173535e-10,3.473792252e-11,1.78123735e-06,0.0002290598334,7.634784255e-14,0.0001304824386,5.680313151e-12,5.178395388e-20,8.63521043e-19,5.635136865e-20,1.358832733e-19
2.169529739e-22,0.2431167344,0.3269218954,0.6065306597,1.728180922e-05,6.743474031e-18,9.20397975e-20,1,2.175960526e-05,2.625874307e-05,1.227392053e-17,4.265756615e-05,1.923934116e-22,7.533680243e-18,1.083572138e-10,5.767215426e-16,6.185579001e-13,1.768867227e-10,9.747669497e-18,3.124263056e-22,1.025596265e-11,9.431136098e-12,4.168679077e-11,1.01351389e-15,7.298671607e-18,2.01503305e-08,8.915351594e-18,3.180133577e-10,0.02013844029,0.08208499862,0.6065306597,0.4930686914
4.666418194e-18,5.596402248e-06,8.615877899e-06,1.70860332e-05,0.4930686914,2.399259971e-17,2.354755284e-15,2.175960526e-05,1,0.4930686914,4.730610777e-17,0.4930686914,3.394515197e-18,3.047595263e-17,1.261479565e-14,4.762180421e-17,1.391078068e-14,2.079699262e-14,2.901074111e-17,6.916262162e-18,3.556771481e-07,4.106842484e-07,7.420002729e-15,1.268232289e-19,9.365852128e-19,3.098819139e-12,9.450851356e-19,3.387412865e-14,2.909443349e-06,0.0002544330863,1.394569238e-05,2.625874307e-05
5.062782181e-18,6.61043933e-06,1.002063157e-05,2.006258688e-05,0.2431167344,4.730610777e-17,1.50182354e-15,2.625874307e-05,0.4930686914,1,9.31744948e-17,0.3678794412,3.820657062e-18,5.994852532e-17,2.055095427e-14,9.638531391e-17,2.771001326e-14,3.387412865e-14,5.73979031e-17,7.462374047e-18,3.497424721e-07,3.586847099e-07,1.24678734e-14,2.108991536e-19,5.732436634e-19,5.084587311e-12,5.681490963e-19,5.470271955e-14,4.246918585e-06,0.0003152143267,1.70860332e-05,3.030111573e-05
3.396190686e-19,5.651521434e-18,5.126756506e-18,7.533680243e-18,2.399259971e-17,0.4930686914,8.62180789e-22,1.227392053e-17,4.730610777e-17,9.31744948e-17,1,3.851428826e-17,1.562882189e-18,0.6065306597,1.705142711e-16,1.358327919e-06,1.065155708e-08,2.061633998e-16,0.3678794412,3.327043154e-19,1.699282626e-16,1.508153066e-17,8.708327216e-16,1.697118052e-18,6.326846609e-20,1.586702514e-15,2.111031519e-20,1.553968593e-16,2.503855126e-16,3.201721235e-17,1.36474951e-17,6.743474031e-18
2.31324353e-18,1.105406626e-05,1.70860332e-05,3.378038866e-05,0.3678794412,1.960458663e-17,1.355663304e-15,4.265756615e-05,0.4930686914,0.3678794412,3.851428826e-17,1,1.691941596e-18,2.470866678e-17,2.087967912e-14,4.989310993e-17,1.614947237e-14,3.442477108e-14,2.399259971e-17,3.426312941e-18,1.75373266e-07,2.044542095e-07,1.189760728e-14,2.06052732e-19,5.597609259e-19,5.084587311e-12,5.749522264e-19,5.652473385e-14,5.206904313e-06,0.0004926196878,2.721076146e-05,5.214191294e-05
0.1198732501,4.69693436e-23,6.496723943e-23,1.314350978e-22,2.979793867e-18,9.450851356e-19,2.517470628e-14,1.923934116e-22,3.394515197e-18,3.820657062e-18,1.562882189e-18,1.691941596e-18,1,1.558124737e-18,9.101560286e-22,7.533680243e-18,1.949939429e-19,6.33451086e-22,5.749522264e-19,0.08208499862,6.632260945e-12,2.170425241e-12,5.139996742e-21,5.72313431e-18,8.856285424e-17,2.048756118e-23,2.399259971e-17,3.124263056e-22,1.57190865e-22,2.200188364e-21,1.388125002e-22,1.811963492e-22
3.327043154e-19,3.458416025e-18,3.141016932e-18,4.622778131e-18,1.547610479e-17,0.6065306597,6.350754159e-22,7.533680243e-18,3.047595263e-17,5.994852532e-17,0.6065306597,2.470866678e-17,1.558124737e-18,1,1.074449961e-16,9.862887395e-07,6.877943571e-09,1.295973357e-16,0.3269218954,3.240251182e-19,1.243936979e-16,1.097130573e-17,5.526016137e-16,1.146514583e-18,4.399682872e-20,9.77494198e-16,1.456761896e-20,9.737055572e-17,1.527520784e-16,1.979664436e-17,8.365751691e-18,4.143494366e-18
7.588617394e-21,2.301382223e-10,1.417323153e-10,9.772525028e-11,7.681204685e-15,1.295973357e-16,1.655416847e-11,1.083572138e-10,1.261479565e-14,2.055095427e-14,1.705142711e-16,2.087967912e-14,9.101560286e-22,1.074449961e-16,1,1.088308766e-11,1.246582766e-08,0.6065306597,2.477857487e-16,1.070375047e-20,8.595564216e-20,3.128891267e-20,0.1272562113,9.189826466e-06,6.376626643e-08,0.003995124611,6.825603376e-08,0.3269218954,3.067828717e-09,1.906837153e-11,1.768867227e-10,5.996832607e-11
4.426484991e-17,4.161890233e-16,3.219556201e-16,3.784068217e-16,2.352708324e-17,1.436035958e-06,6.30511676e-16,5.767215426e-16,4.762180421e-17,9.638531391e-17,1.358327919e-06,4.989310993e-17,7.533680243e-18,9.862887395e-07,1.088308766e-11,1,0.0004767447763,1.160765149e-11,2.909443349e-06,4.842054278e-17,1.009881466e-18,1.22527343e-19,7.265963883e-11,7.802174602e-13,3.965544029e-14,2.110529611e-11,1.24678734e-14,7.454107072e-12,2.343115957e-14,6.30511676e-16,7.541271449e-16,2.888623706e-16
1.358697897e-18,5.089840527e-13,3.792050557e-13,4.175443505e-13,6.978014138e-15,8.693317644e-09,8.137801031e-15,6.185579001e-13,1.391078068e-14,2.771001326e-14,1.065155708e-08,1.614947237e-14,1.949939429e-19,6.877943571e-09,1.246582766e-08,0.0004767447763,1,1.42101264e-08,1.70256668e-08,1.616206904e-18,2.958795065e-17,4.622778131e-18,7.197951996e-08,1.043062462e-10,2.295233427e-12,4.109615173e-08,9.1318989e-13,9.817602249e-09,2.796113067e-11,5.157734885e-13,8.421000623e-13,3.063466569e-13
5.279423115e-21,3.734289541e-10,2.301382223e-10,1.591731766e-10,1.266416555e-14,1.553968593e-16,1.010513099e-11,1.768867227e-10,2.079699262e-14,3.387412865e-14,2.061633998e-16,3.442477108e-14,6.33451086e-22,1.295973357e-16,0.6065306597,1.160765149e-11,1.42101264e-08,1,2.960159436e-16,7.426606703e-21,1.394491837e-19,5.106035008e-20,0.1068779257,5.596402248e-06,3.875336811e-08,0.006571995191,4.139937719e-08,0.4930686914,5.044470346e-09,3.131971812e-11,2.886279474e-10,9.772525028e-11
1.250148546e-19,4.622778131e-18,4.143494366e-18,6.000072522e-18,1.464994802e-17,0.4930686914,1.899527556e-21,9.747669497e-18,2.901074111e-17,5.73979031e-17,0.3678794412,2.399259971e-17,5.749522264e-19,0.3269218954,2.477857487e-16,2.909443349e-06,1.70256668e-08,2.960159436e-16,1,1.22527343e-19,7.711661492e-17,6.916262162e-18,1.307082323e-15,3.141016932e-18,1.253744072e-19,2.008190116e-15,4.113497412e-20,2.194268499e-16,2.119534783e-16,2.399259971e-17,1.097130573e-17,5.306993439e-18
0.6065306597,7.599867598e-23,1.070195791e-22,2.169529739e-22,6.330601951e-18,1.966988432e-19,2.7137559e-13,3.124263056e-22,6.916262162e-18,7.462374047e-18,3.327043154e-19,3.426312941e-18,0.08208499862,3.240251182e-19,1.070375047e-20,4.842054278e-17,1.616206904e-18,7.426606703e-21,1.22527343e-19,1,1.655416847e-11,6.632260945e-12,5.979194229e-20,6.971260852e-17,1.058546876e-15,2.309883794e-22,2.848546402e-16,3.663683398e-21,2.105280564e-22,3.663683398e-21,2.213470465e-22,3.046402396e-22
