patch_index	patch_id	trait_local_index	arcana_trait_axis	locus	allele1_frequency
0	P000	0	0	0	0.25238852659339478
0	P000	0	0	1	0.26583453619883352
0	P000	0	0	2	0.27972909301638388
0	P000	0	0	3	0.29405922602108747
0	P000	0	0	4	0.3088089365510252
0	P000	0	0	5	0.32395915915863138
0	P000	0	0	6	0.33948776335191538
0	P000	0	0	7	0.35536959949795072
0	P000	0	0	8	0.37157659125586101
0	P000	0	0	9	0.38807787583097769
0	P000	0	0	10	0.40483999212577865
0	P000	0	0	11	0.42182711554739144
0	P000	0	0	12	0.4390013368660467
0	P000	0	0	13	0.45632298116114262
0	P000	0	0	14	0.4737509616027713
0	P000	0	0	15	0.49124316165812704
0	P000	0	0	16	0.50875683834187302
0	P000	0	0	17	0.52624903839722881
0	P000	0	0	18	0.54367701883885744
0	P000	0	0	19	0.56099866313395341
0	P000	0	0	20	0.57817288445260873
0	P000	0	0	21	0.5951600078742213
0	P000	0	0	22	0.61192212416902236
0	P000	0	0	23	0.62842340874413916
0	P000	0	0	24	0.64463040050204934
0	P000	0	0	25	0.66051223664808467
0	P000	0	0	26	0.67604084084136862
0	P000	0	0	27	0.69119106344897485
0	P000	0	0	28	0.70594077397891253
0	P000	0	0	29	0.72027090698361607
0	P000	0	0	30	0.73416546380116654
0	P000	0	0	31	0.74761147340660528
0	P000	1	1	0	0.25238852659339478
0	P000	1	1	1	0.26583453619883352
0	P000	1	1	2	0.27972909301638388
0	P000	1	1	3	0.29405922602108747
0	P000	1	1	4	0.3088089365510252
0	P000	1	1	5	0.32395915915863138
0	P000	1	1	6	0.33948776335191538
0	P000	1	1	7	0.35536959949795072
0	P000	1	1	8	0.37157659125586101
0	P000	1	1	9	0.38807787583097769
0	P000	1	1	10	0.40483999212577865
0	P000	1	1	11	0.42182711554739144
0	P000	1	1	12	0.4390013368660467
0	P000	1	1	13	0.45632298116114262
0	P000	1	1	14	0.4737509616027713
0	P000	1	1	15	0.49124316165812704
0	P000	1	1	16	0.50875683834187302
0	P000	1	1	17	0.52624903839722881
0	P000	1	1	18	0.54367701883885744
0	P000	1	1	19	0.56099866313395341
0	P000	1	1	20	0.57817288445260873
0	P000	1	1	21	0.5951600078742213
0	P000	1	1	22	0.61192212416902236
0	P000	1	1	23	0.62842340874413916
0	P000	1	1	24	0.64463040050204934
0	P000	1	1	25	0.66051223664808467
0	P000	1	1	26	0.67604084084136862
0	P000	1	1	27	0.69119106344897485
0	P000	1	1	28	0.70594077397891253
0	P000	1	1	29	0.72027090698361607
0	P000	1	1	30	0.73416546380116654
0	P000	1	1	31	0.74761147340660528
1	P001	0	0	0	0.25238852659339478
1	P001	0	0	1	0.26583453619883352
1	P001	0	0	2	0.27972909301638388
1	P001	0	0	3	0.29405922602108747
1	P001	0	0	4	0.3088089365510252
1	P001	0	0	5	0.32395915915863138
1	P001	0	0	6	0.33948776335191538
1	P001	0	0	7	0.35536959949795072
1	P001	0	0	8	0.37157659125586101
1	P001	0	0	9	0.38807787583097769
1	P001	0	0	10	0.40483999212577865
1	P001	0	0	11	0.42182711554739144
1	P001	0	0	12	0.4390013368660467
1	P001	0	0	13	0.45632298116114262
1	P001	0	0	14	0.4737509616027713
1	P001	0	0	15	0.49124316165812704
1	P001	0	0	16	0.50875683834187302
1	P001	0	0	17	0.52624903839722881
1	P001	0	0	18	0.54367701883885744
1	P001	0	0	19	0.56099866313395341
1	P001	0	0	20	0.57817288445260873
1	P001	0	0	21	0.5951600078742213
1	P001	0	0	22	0.61192212416902236
1	P001	0	0	23	0.62842340874413916
1	P001	0	0	24	0.64463040050204934
1	P001	0	0	25	0.66051223664808467
1	P001	0	0	26	0.67604084084136862
1	P001	0	0	27	0.69119106344897485
1	P001	0	0	28	0.70594077397891253
1	P001	0	0	29	0.72027090698361607
1	P001	0	0	30	0.73416546380116654
1	P001	0	0	31	0.74761147340660528
1	P001	1	1	0	0.25238852659339478
1	P001	1	1	1	0.26583453619883352
1	P001	1	1	2	0.27972909301638388
1	P001	1	1	3	0.29405922602108747
1	P001	1	1	4	0.3088089365510252
1	P001	1	1	5	0.32395915915863138
1	P001	1	1	6	0.33948776335191538
1	P001	1	1	7	0.35536959949795072
1	P001	1	1	8	0.37157659125586101
1	P001	1	1	9	0.38807787583097769
1	P001	1	1	10	0.40483999212577865
1	P001	1	1	11	0.42182711554739144
1	P001	1	1	12	0.4390013368660467
1	P001	1	1	13	0.45632298116114262
1	P001	1	1	14	0.4737509616027713
1	P001	1	1	15	0.49124316165812704
1	P001	1	1	16	0.50875683834187302
1	P001	1	1	17	0.52624903839722881
1	P001	1	1	18	0.54367701883885744
1	P001	1	1	19	0.56099866313395341
1	P001	1	1	20	0.57817288445260873
1	P001	1	1	21	0.5951600078742213
1	P001	1	1	22	0.61192212416902236
1	P001	1	1	23	0.62842340874413916
1	P001	1	1	24	0.64463040050204934
1	P001	1	1	25	0.66051223664808467
1	P001	1	1	26	0.67604084084136862
1	P001	1	1	27	0.69119106344897485
1	P001	1	1	28	0.70594077397891253
1	P001	1	1	29	0.72027090698361607
1	P001	1	1	30	0.73416546380116654
1	P001	1	1	31	0.74761147340660528
