Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
31631.7,2,100,C,Ecto,4.21027e+06
31631.7,2,1000,C,Ecto,2.98343e+06
31631.7,2,10000,C,Ecto,8.55765e+06
2451.5,2,1,H,Ecto,1.24963e+07
2451.5,2,10,H,Ecto,273400
2451.5,2,100,H,Ecto,4.77116e+06
2451.5,2,1,O,Ecto,1.13023e+07
2451.5,2,10,O,Ecto,4861.56
2451.5,2,100,C,Ecto,816774
4850.06,2,10,H,Ecto,2.25275e+07
4850.06,2,100,H,Ecto,3.95691e+09
4850.06,2,1000,H,Ecto,1487.01
4850.06,2,100,H,Endo,2.56872e+07
4850.06,2,1000,H,Endo,8.78061e+10
4850.06,2,1,O,Ecto,11535.9
4850.06,2,10,O,Ecto,0.00242934
4850.06,2,100,O,Ecto,2.2245e+07
4850.06,2,1000,O,Ecto,89619.9
4850.06,2,100,O,Endo,1.77692e+07
4850.06,2,1000,O,Endo,4.70627e+07
4850.06,2,100,C,Ecto,8.11025e+08
4850.06,2,1000,C,Ecto,7.67178e+06
249.489,4,1,H,Ecto,284406
249.489,4,10,H,Ecto,2180.6
249.489,4,100,H,Ecto,8569.97
249.489,4,1,O,Ecto,391951
249.489,4,10,O,Ecto,204.052
249.489,4,100,C,Ecto,0.0582524
603.799,4,1,H,Ecto,34962
603.799,4,1,O,Ecto,7469.4
603.799,4,10,O,Ecto,4.40345
1654.85,4,1,H,Ecto,2.57586e+06
1654.85,4,10,H,Ecto,3.79131e+06
1654.85,4,100,H,Ecto,6.7902e+08
1654.85,4,1000,H,Ecto,9572.45
1654.85,4,100,H,Endo,4.10099e+06
1654.85,4,1000,H,Endo,1.5269e+10
1654.85,4,1,O,Ecto,1.98446e+07
1654.85,4,10,O,Ecto,1613.44
1654.85,4,100,O,Ecto,9.94339e+06
1654.85,4,100,O,Endo,2.94099e+06
1654.85,4,1000,O,Endo,1.97745e+07
1654.85,4,100,C,Ecto,6.8776e+08
769.964,5,10,H,Ecto,1.95444e+06
769.964,5,100,H,Ecto,2.12996e+06
769.964,5,1000,H,Ecto,851.381
769.964,5,100,H,Endo,6.59551e+06
769.964,5,1000,H,Endo,5.45028e+09
769.964,5,10000,H,Endo,91825.4
769.964,5,1,O,Ecto,2512.08
769.964,5,10,O,Ecto,0.00439749
769.964,5,100,O,Ecto,3.89819e+07
769.964,5,1000,O,Ecto,1.29937e+06
769.964,5,100,O,Endo,1.90563e+07
769.964,5,1000,O,Endo,2.90854e+07
769.964,5,100,C,Ecto,1.67641e+08
769.964,5,1000,C,Ecto,399305
76.8449,5,1,H,Ecto,1.27848
76.8449,5,10,H,Ecto,0.548925
76.8449,5,100,H,Ecto,7.82082
76.8449,5,1,O,Ecto,6.36664
76.8449,5,10,O,Ecto,0.00141032
76.8449,5,100,C,Ecto,0.974507
1723.94,5,1,H,Ecto,204320
1723.94,5,10,H,Ecto,140501
1723.94,5,100,H,Ecto,2.19576e+08
1723.94,5,1000,H,Ecto,3.30337
1723.94,5,1000,H,Endo,2.01692e+09
1723.94,5,1,O,Ecto,49018.7
1723.94,5,10,O,Ecto,5.70481e-06
1723.94,5,100,O,Ecto,72542.7
1723.94,5,1000,O,Ecto,249.036
1723.94,5,1000,O,Endo,138164
1723.94,5,100,C,Ecto,1.01026e+07
2.13197,5,1,O,Ecto,2.83576e-08
8.64267,5,1,H,Ecto,774.142
8.64267,5,1,O,Ecto,103.083
8.64267,5,10,O,Ecto,0.0651917
3.2961,5,1,O,Ecto,0.00581016
3.2961,5,10,O,Ecto,6.56952e-06
48.3578,5,1,O,Ecto,4.37022e-07
10582.5,7,100,H,Ecto,1.11003e+06
10582.5,7,1000,H,Ecto,4.96217e+07
10582.5,7,10000,H,Ecto,391062
10582.5,7,100,H,Endo,2.12633e+06
10582.5,7,1000,H,Endo,6.9315e+08
10582.5,7,10000,H,Endo,2.96224e+07
10582.5,7,100,O,Ecto,1.73858e+06
10582.5,7,1000,O,Ecto,1.95826e+06
10582.5,7,10000,O,Ecto,343228
10582.5,7,100,O,Endo,1093.89
10582.5,7,1000,O,Endo,1.41044e+07
10582.5,7,10000,O,Endo,31.7828
10582.5,7,100,C,Ecto,449557
10582.5,7,1000,C,Ecto,646183
10582.5,7,10000,C,Ecto,1.27268e+08
29259.5,7,100,H,Ecto,4040.89
29259.5,7,1000,H,Ecto,3.72952e+06
29259.5,7,10000,H,Ecto,517852
29259.5,7,1000,H,Endo,1.47358e+09
29259.5,7,10000,H,Endo,3.48602e+06
29259.5,7,100,O,Ecto,342.166
29259.5,7,1000,O,Ecto,3.42386e+06
29259.5,7,10000,O,Ecto,9852.56
29259.5,7,1000,O,Endo,2.61788e+08
