Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,N_BeforePacking_AddAge0s,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
0,0|1|2|3|4|5|,402|198|78|52|22|16|,31.0|53.03281313131314|92.0|122.345|148.00936363636364|186.6196875|,0.0|5.097693556540372|0.0|8.025251826865958|8.563262507763|7.849450703064751|,31.0|53.0|92.0|123.0|147.0|184.0|,402|198|78|52|22|16|,31.0|53.03281313131314|92.0|122.345|148.00936363636364|186.6196875|,0.0|5.097693556540372|0.0|8.025251826865958|8.563262507763|7.849450703064751|,0|402|198|78|52|38|,0|0|0|0|0|0|,1254|402|198|78|52|38|,503|0|8|0|9|25|,769|402|190|78|43|13|,0|0|0|0|0|0|,0|0|0|0|0|0|,769|402|190|78|43|13|,0|0|0|0|0|0|,0|0|0|0|0|0|,769|402|190|78|43|6|,0|0|0|0|0|6|,0|0|0|0|0|0|
1,0|1|2|3|4|5|,769|402|190|78|43|0|,31.02645451047496|48.808560399481266|71.50271745264926|107.45201607493912|131.27116779474778|nan|,0.016172271345887217|12.487199379507492|14.018036353299072|9.846870224125643|11.566706912044415|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,769|402|190|78|43|0|,31.02645451047496|48.808560399481266|71.50271745264926|107.45201607493912|131.27116779474778|nan|,0.016172271345887217|12.487199379507492|14.018036353299072|9.846870224125643|11.566706912044415|nan|,0|769|402|190|78|43|,0|0|0|0|0|0|,1913|769|402|190|78|43|,1360|563|318|148|45|29|,564|206|84|42|33|14|,0|0|0|0|0|0|,0|0|0|0|0|0|,564|206|84|42|33|14|,0|0|0|0|0|0|,0|0|0|0|0|0|,564|206|84|42|33|14|,0|0|0|0|0|14|,0|0|0|0|0|0|
2,0|1|2|3|4|5|,564|206|84|42|33|0|,31.04187904607815|48.264626627881235|64.0237411089092|85.07819657482376|117.46605924943631|nan|,0.02222319562480687|11.665002345362966|25.575292588951324|20.89423062943026|16.843238973507148|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,564|206|84|42|33|0|,31.04187904607815|48.264626627881235|64.0237411089092|85.07819657482376|117.46605924943631|nan|,0.02222319562480687|11.665002345362966|25.575292588951324|20.89423062943026|16.843238973507148|nan|,0|564|206|84|42|33|,0|0|0|0|0|0|,846|564|206|84|42|33|,145|246|0|0|6|16|,704|318|206|84|36|17|,0|0|0|0|0|0|,0|0|0|0|0|0|,704|318|206|84|36|17|,0|0|0|0|0|0|,0|0|0|0|0|0|,704|318|206|84|36|17|,0|0|0|0|0|17|,0|0|0|0|0|0|
3,0|1|2|3|4|5|,704|318|206|84|36|0|,31.023234299524482|46.39640764214734|65.20217737980157|76.17925965315312|92.80858669906503|nan|,0.011914750659455405|11.33073999305036|23.06169509524344|35.02065493586007|27.89429365738304|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,704|318|206|84|36|0|,31.023234299524482|46.39640764214734|65.20217737980157|76.17925965315312|92.80858669906503|nan|,0.011914750659455405|11.33073999305036|23.06169509524344|35.02065493586007|27.89429365738304|nan|,0|704|318|206|84|36|,0|0|0|0|0|0|,1683|704|318|206|84|36|,1112|482|198|164|49|16|,568|222|120|42|35|20|,0|0|0|0|0|0|,0|0|0|0|0|0|,568|222|120|42|35|20|,0|0|0|0|0|0|,0|0|0|0|3|0|,568|222|120|42|32|20|,0|0|0|0|0|20|,0|0|0|0|0|0|
4,0|1|2|3|4|5|,568|222|120|42|32|0|,31.025750308057283|47.43274339354535|66.75112273617631|66.53132116304712|93.7913445489786|nan|,0.005615821591264508|11.229707106179282|21.754762335879253|34.09426009401606|37.710235182782085|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,568|222|120|42|32|0|,31.025750308057283|47.43274339354535|66.75112273617631|66.53132116304712|93.7913445489786|nan|,0.005615821591264508|11.229707106179282|21.754762335879253|34.09426009401606|37.710235182782085|nan|,0|568|222|120|42|32|,0|0|0|0|0|0|,1080|568|222|120|42|32|,411|280|32|29|1|13|,665|288|190|91|41|19|,0|0|0|0|0|0|,0|0|0|0|0|0|,665|288|190|91|41|19|,0|0|0|0|0|0|,0|0|0|8|5|2|,665|288|190|83|36|17|,0|0|0|0|0|17|,0|0|0|0|0|0|
5,0|1|2|3|4|5|,665|288|190|83|36|0|,31.042470312175112|47.8903919034453|64.78307602247938|73.22111115749021|81.38699046616541|nan|,0.03906836454416159|11.422143684555648|22.60378744921547|32.99238026384649|40.25942200418116|nan|,31.0|53.0|92.0|123.0|147.0|184.0|,665|288|190|83|36|0|,31.042470312175112|47.8903919034453|64.78307602247938|73.22111115749021|81.38699046616541|nan|,0.03906836454416159|11.422143684555648|22.60378744921547|32.99238026384649|40.25942200418116|nan|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|,NA|NA|NA|NA|NA|NA|
